Raman Shift ; Dark Subtracted
176 ; 4124.93
180 ; 3359.48
184 ; 2701.03
188 ; 2332.40
192 ; 2002.08
196 ; 1714.74
200 ; 1503.02
204 ; 1418.59
208 ; 1393.50
212 ; 1288.94
216 ; 1128.78
220 ; 992.55
224 ; 891.77
228 ; 827.50
232 ; 813.35
236 ; 831.85
240 ; 833.05
244 ; 776.75
248 ; 659.84
252 ; 610.44
256 ; 679.29
260 ; 675.60
264 ; 562.22
268 ; 505.26
272 ; 508.31
276 ; 486.79
280 ; 452.71
284 ; 431.43
288 ; 408.19
292 ; 392.28
296 ; 421.49
300 ; 453.30
304 ; 416.04
308 ; 336.64
312 ; 268.63
316 ; 258.34
320 ; 292.76
324 ; 301.71
328 ; 285.71
332 ; 283.15
336 ; 321.67
340 ; 367.09
344 ; 285.65
348 ; 142.27
352 ; 148.57
356 ; 242.49
360 ; 291.12
364 ; 308.57
368 ; 301.66
372 ; 239.56
376 ; 205.24
380 ; 297.97
384 ; 355.44
388 ; 274.21
392 ; 205.66
396 ; 214.39
400 ; 263.37
404 ; 319.78
408 ; 347.27
412 ; 290.34
416 ; 192.39
420 ; 191.87
424 ; 235.42
428 ; 222.21
432 ; 242.62
436 ; 307.21
440 ; 271.71
444 ; 186.70
448 ; 187.66
452 ; 226.75
456 ; 256.36
460 ; 305.77
464 ; 342.66
468 ; 302.07
472 ; 208.81
476 ; 141.20
480 ; 215.90
484 ; 307.66
488 ; 196.21
492 ; 124.72
496 ; 234.10
500 ; 238.19
504 ; 113.50
508 ; 47.73
512 ; 126.18
516 ; 284.01
520 ; 273.60
524 ; 191.14
528 ; 282.90
532 ; 348.14
536 ; 261.93
540 ; 196.00
544 ; 218.24
548 ; 295.09
552 ; 319.30
556 ; 261.31
560 ; 204.37
564 ; 169.55
568 ; 151.28
572 ; 166.93
576 ; 201.00
580 ; 210.18
584 ; 204.63
588 ; 198.67
592 ; 176.09
596 ; 166.89
600 ; 212.31
604 ; 239.93
608 ; 220.42
612 ; 223.56
616 ; 253.15
620 ; 262.02
624 ; 177.02
628 ; 50.53
632 ; 28.57
636 ; 67.68
640 ; 92.90
644 ; 97.80
648 ; 109.81
652 ; 148.68
656 ; 160.19
660 ; 135.89
664 ; 118.06
668 ; 78.95
672 ; 13.44
676 ; 0.00
680 ; 16.55
684 ; 53.83
688 ; 133.86
692 ; 226.83
696 ; 250.51
700 ; 197.34
704 ; 166.19
708 ; 341.91
712 ; 610.36
716 ; 744.43
720 ; 624.79
724 ; 402.80
728 ; 347.74
732 ; 460.07
736 ; 679.27
740 ; 924.15
744 ; 1030.16
748 ; 910.45
752 ; 640.60
756 ; 349.77
760 ; 155.82
764 ; 102.23
768 ; 98.57
772 ; 33.09
776 ; 0.00
780 ; 0.00
784 ; 110.06
788 ; 113.27
792 ; 6.40
796 ; 0.46
800 ; 0.50
804 ; 0.00
808 ; 135.93
812 ; 226.86
816 ; 106.83
820 ; 38.73
824 ; 37.81
828 ; 13.20
832 ; 0.00
836 ; 21.27
840 ; 170.69
844 ; 128.42
848 ; 0.00
852 ; 29.69
856 ; 44.06
860 ; 0.00
864 ; 0.00
868 ; 0.00
872 ; 1.11
876 ; 64.01
880 ; 55.50
884 ; 0.00
888 ; 37.82
892 ; 39.72
896 ; 0.00
900 ; 42.37
904 ; 47.59
908 ; 18.62
912 ; 75.64
916 ; 54.42
920 ; 0.00
924 ; 125.25
928 ; 178.79
932 ; 112.40
936 ; 115.94
940 ; 74.58
944 ; 0.00
948 ; 22.90
952 ; 58.59
956 ; 60.61
960 ; 63.36
964 ; 88.81
968 ; 94.63
972 ; 45.77
976 ; 51.24
980 ; 92.19
984 ; 106.32
988 ; 170.42
992 ; 203.02
996 ; 129.94
1000 ; 96.85
1004 ; 148.87
1008 ; 188.13
1012 ; 54.34
1016 ; 29.26
1020 ; 227.84
1024 ; 357.38
1028 ; 422.05
1032 ; 579.86
1036 ; 1267.19
1040 ; 3724.27
1044 ; 8753.92
1048 ; 14525.79
1052 ; 13937.47
1056 ; 8082.65
1060 ; 2732.39
1064 ; 758.72
1068 ; 613.51
1072 ; 377.57
1076 ; 300.37
1080 ; 215.95
1084 ; 118.02
1088 ; 210.93
1092 ; 186.16
1096 ; 59.09
1100 ; 33.52
1104 ; 41.82
1108 ; 65.76
1112 ; 90.19
1116 ; 66.63
1120 ; 66.16
1124 ; 114.97
1128 ; 157.37
1132 ; 142.79
1136 ; 119.56
1140 ; 138.56
1144 ; 155.70
1148 ; 179.23
1152 ; 176.58
1156 ; 94.72
1160 ; 52.38
1164 ; 57.23
1168 ; 65.46
1172 ; 114.00
1176 ; 100.04
1180 ; 50.38
1184 ; 115.43
1188 ; 133.03
1192 ; 74.67
1196 ; 54.35
1200 ; 150.39
1204 ; 179.46
1208 ; 98.35
1212 ; 47.30
1216 ; 19.44
1220 ; 4.13
1224 ; 0.02
1228 ; 0.00
1232 ; 0.00
1236 ; 0.59
1240 ; 0.96
1244 ; 0.00
1248 ; 68.90
1252 ; 124.21
1256 ; 20.91
1260 ; 0.00
1264 ; 0.00
1268 ; 3.40
1272 ; 158.37
1276 ; 160.53
1280 ; 43.02
1284 ; 0.00
1288 ; 36.65
1292 ; 120.76
1296 ; 138.78
1300 ; 85.60
1304 ; 160.45
1308 ; 90.94
1312 ; 10.87
1316 ; 159.64
1320 ; 129.52
1324 ; 73.06
1328 ; 120.21
1332 ; 190.65
1336 ; 246.79
1340 ; 291.43
1344 ; 331.50
1348 ; 400.48
1352 ; 555.47
1356 ; 529.68
1360 ; 394.09
1364 ; 388.74
1368 ; 340.26
1372 ; 307.92
1376 ; 252.36
1380 ; 128.11
1384 ; 110.87
1388 ; 126.84
1392 ; 93.69
1396 ; 55.72
1400 ; 110.19
1404 ; 116.27
1408 ; 75.56
1412 ; 116.53
1416 ; 276.58
1420 ; 328.54
1424 ; 286.44
1428 ; 275.56
1432 ; 330.27
1436 ; 365.99
1440 ; 361.04
1444 ; 295.28
1448 ; 192.94
1452 ; 172.70
1456 ; 248.69
1460 ; 254.67
1464 ; 174.42
1468 ; 160.88
1472 ; 108.93
1476 ; 86.85
1480 ; 138.92
1484 ; 155.20
1488 ; 24.16
1492 ; 10.04
1496 ; 115.47
1500 ; 202.24
1504 ; 184.10
1508 ; 42.31
1512 ; 0.00
1516 ; 40.60
1520 ; 125.42
1524 ; 115.52
1528 ; 141.20
1532 ; 71.62
1536 ; 0.00
1540 ; 2.37
1544 ; 3.68
1548 ; 0.00
1552 ; 76.86
1556 ; 151.21
1560 ; 83.23
1564 ; 58.31
1568 ; 13.27
1572 ; 3.34
1576 ; 19.52
1580 ; 44.23
1584 ; 102.75
1588 ; 32.57
1592 ; 0.00
1596 ; 56.34
1600 ; 106.66
1604 ; 3.07
1608 ; 21.11
1612 ; 6.01
1616 ; 34.66
1620 ; 128.05
1624 ; 121.44
1628 ; 71.53
1632 ; 118.99
1636 ; 202.95
1640 ; 267.96
1644 ; 232.64
1648 ; 97.90
1652 ; 200.30
1656 ; 112.63
1660 ; 67.00
1664 ; 162.77
1668 ; 121.07
1672 ; 23.04
1676 ; 0.00
1680 ; 96.72
1684 ; 91.02
1688 ; 0.00
1692 ; 40.52
1696 ; 3.78
1700 ; 0.00
1704 ; 0.13
1708 ; 6.99
1712 ; 74.25
1716 ; 141.89
1720 ; 63.05
1724 ; 6.73
1728 ; 0.00
1732 ; 29.02
1736 ; 86.72
1740 ; 68.64
1744 ; 0.00
1748 ; 53.24
1752 ; 46.73
1756 ; 46.31
1760 ; 32.06
1764 ; 0.00
1768 ; 0.00
1772 ; 0.00
1776 ; 27.44
1780 ; 4.17
1784 ; 23.60
1788 ; 53.93
1792 ; 46.33
1796 ; 64.01
1800 ; 101.35
1804 ; 65.88
1808 ; 46.27
1812 ; 30.53
1816 ; 0.00
1820 ; 25.64
1824 ; 58.00
1828 ; 0.00
1832 ; 0.00
1836 ; 3.29
1840 ; 0.00
1844 ; 80.75
1848 ; 96.87
1852 ; 15.18
1856 ; 0.00
1860 ; 0.13
1864 ; 0.00
1868 ; 0.49
1872 ; 0.00
1876 ; 23.87
1880 ; 49.05
1884 ; 19.27
1888 ; 8.24
1892 ; 21.25
1896 ; 23.93
1900 ; 138.50
1904 ; 13.43
1908 ; 0.00
1912 ; 3.39
1916 ; 0.00
1920 ; 4.06
1924 ; 0.00
1928 ; 34.80
1932 ; 95.82
1936 ; 0.00
1940 ; 51.93
1944 ; 5.39
1948 ; 0.00
1952 ; 4.64
1956 ; 0.00
1960 ; 65.51
1964 ; 75.96
1968 ; 0.00
1972 ; 8.37
1976 ; 59.80
1980 ; 107.88
1984 ; 48.50
1988 ; 2.59
1992 ; 37.71
1996 ; 7.87
2000 ; 0.00
2004 ; 0.00
2008 ; 26.28
2012 ; 70.28
2016 ; 44.29
2020 ; 0.00
2024 ; 34.71
2028 ; 81.08
2032 ; 0.05
2036 ; 54.39
2040 ; 0.00
2044 ; 20.28
2048 ; 28.60
2052 ; 0.00
2056 ; 48.46
2060 ; 46.94
2064 ; 3.91
2068 ; 60.51
2072 ; 36.52
2076 ; 0.00
2080 ; 2.61
2084 ; 0.00
2088 ; 0.60
2092 ; 0.00
2096 ; 5.06
2100 ; 38.19
2104 ; 40.88
2108 ; 0.00
2112 ; 0.00
2116 ; 15.65
2120 ; 147.99
2124 ; 2.21
2128 ; 233.23
2132 ; 45.69
2136 ; 60.33
2140 ; 12.16
2144 ; 88.65
2148 ; 70.03
2152 ; 5.67
2156 ; 0.00
2160 ; 1.44
2164 ; 0.00
2168 ; 26.63
2172 ; 7.89
2176 ; 1.68
2180 ; 0.00
2184 ; 109.43
2188 ; 36.03
2192 ; 54.75
2196 ; 25.14
2200 ; 47.26
2204 ; 49.72
2208 ; 62.37
2212 ; 30.21
2216 ; 0.00
2220 ; 48.72
2224 ; 21.33
2228 ; 0.00
2232 ; 1.42
2236 ; 0.00
2240 ; 1.53
2244 ; 0.00
2248 ; 30.55
2252 ; 5.36
2256 ; 42.16
2260 ; 17.68
2264 ; 0.00
2268 ; 1.02
2272 ; 0.00
2276 ; 0.32
2280 ; 0.00
2284 ; 23.30
2288 ; 94.26
2292 ; 4.70
2296 ; 47.16
2300 ; 0.49
2304 ; 49.35
2308 ; 0.00
2312 ; 7.52
2316 ; 0.00
2320 ; 0.00
2324 ; 11.00
2328 ; 58.48
2332 ; 0.00
2336 ; 2.23
2340 ; 3.84
2344 ; 0.00
2348 ; 62.44
2352 ; 161.52
2356 ; 42.53
2360 ; 22.67
2364 ; 31.02
2368 ; 38.98
2372 ; 7.23
2376 ; 11.88
2380 ; 0.49
2384 ; 30.91
2388 ; 63.65
2392 ; 0.00
2396 ; 27.20
2400 ; 0.00
2404 ; 45.14
2408 ; 111.74
2412 ; 12.54
2416 ; 0.00
2420 ; 86.35
2424 ; 38.73
2428 ; 0.00
2432 ; 95.48
2436 ; 1.93
2440 ; 0.53
2444 ; 5.68
2448 ; 36.08
2452 ; 0.00
2456 ; 0.00
2460 ; 9.91
2464 ; 2.94
2468 ; 19.53
2472 ; 10.42
2476 ; 19.51
2480 ; 0.00
2484 ; 0.61
2488 ; 0.00
2492 ; 4.37
2496 ; 7.63
2500 ; 0.00
