Raman Shift ; Dark Subtracted
176 ; 526.77
180 ; 452.37
184 ; 398.27
188 ; 361.26
192 ; 323.99
196 ; 307.51
200 ; 268.25
204 ; 245.62
208 ; 234.26
212 ; 204.42
216 ; 198.02
220 ; 186.30
224 ; 163.33
228 ; 140.95
232 ; 141.30
236 ; 139.95
240 ; 142.94
244 ; 141.88
248 ; 123.25
252 ; 130.47
256 ; 127.77
260 ; 128.12
264 ; 122.78
268 ; 133.02
272 ; 123.66
276 ; 102.58
280 ; 103.59
284 ; 107.85
288 ; 99.23
292 ; 108.32
296 ; 88.35
300 ; 87.00
304 ; 70.98
308 ; 81.59
312 ; 95.17
316 ; 91.88
320 ; 87.04
324 ; 65.84
328 ; 76.05
332 ; 80.57
336 ; 78.28
340 ; 67.33
344 ; 81.33
348 ; 83.98
352 ; 88.15
356 ; 87.46
360 ; 86.75
364 ; 82.85
368 ; 83.86
372 ; 77.61
376 ; 69.51
380 ; 81.44
384 ; 84.94
388 ; 78.68
392 ; 80.98
396 ; 76.07
400 ; 90.74
404 ; 74.55
408 ; 70.33
412 ; 68.53
416 ; 71.39
420 ; 86.80
424 ; 78.83
428 ; 85.81
432 ; 73.37
436 ; 68.32
440 ; 79.11
444 ; 74.11
448 ; 77.81
452 ; 58.81
456 ; 58.22
460 ; 59.71
464 ; 62.16
468 ; 76.94
472 ; 63.90
476 ; 60.50
480 ; 58.32
484 ; 61.60
488 ; 65.61
492 ; 74.35
496 ; 64.90
500 ; 54.37
504 ; 53.40
508 ; 52.77
512 ; 64.49
516 ; 56.70
520 ; 59.47
524 ; 60.09
528 ; 65.48
532 ; 66.81
536 ; 58.17
540 ; 53.98
544 ; 52.05
548 ; 60.74
552 ; 62.24
556 ; 58.90
560 ; 48.90
564 ; 47.73
568 ; 50.89
572 ; 55.15
576 ; 74.70
580 ; 52.57
584 ; 58.56
588 ; 54.98
592 ; 77.28
596 ; 75.14
600 ; 62.38
604 ; 45.15
608 ; 39.35
612 ; 47.93
616 ; 51.01
620 ; 63.16
624 ; 55.47
628 ; 33.65
632 ; 37.55
636 ; 46.76
640 ; 54.82
644 ; 53.95
648 ; 50.08
652 ; 53.31
656 ; 53.87
660 ; 49.74
664 ; 57.40
668 ; 55.27
672 ; 29.15
676 ; 35.71
680 ; 52.79
684 ; 46.02
688 ; 40.93
692 ; 45.16
696 ; 38.73
700 ; 47.12
704 ; 62.96
708 ; 77.09
712 ; 133.47
716 ; 186.50
720 ; 167.15
724 ; 119.01
728 ; 54.51
732 ; 92.93
736 ; 218.31
740 ; 349.32
744 ; 308.46
748 ; 208.01
752 ; 101.72
756 ; 63.93
760 ; 52.62
764 ; 45.66
768 ; 17.75
772 ; 19.83
776 ; 48.17
780 ; 36.36
784 ; 30.07
788 ; 22.76
792 ; 53.46
796 ; 45.20
800 ; 33.99
804 ; 55.12
808 ; 18.47
812 ; 15.80
816 ; 39.07
820 ; 44.94
824 ; 28.08
828 ; 34.23
832 ; 32.37
836 ; 39.67
840 ; 31.12
844 ; 41.13
848 ; 36.10
852 ; 42.40
856 ; 25.80
860 ; 32.21
864 ; 29.17
868 ; 21.34
872 ; 26.15
876 ; 39.37
880 ; 62.12
884 ; 40.35
888 ; 16.36
892 ; 28.91
896 ; 38.80
900 ; 31.63
904 ; 35.92
908 ; 28.79
912 ; 32.04
916 ; 29.64
920 ; 33.58
924 ; 18.46
928 ; 15.06
932 ; 40.58
936 ; 27.18
940 ; 16.43
944 ; 8.77
948 ; 21.89
952 ; 39.47
956 ; 45.55
960 ; 21.85
964 ; 27.40
968 ; 40.74
972 ; 55.95
976 ; 11.55
980 ; 26.64
984 ; 29.24
988 ; 60.60
992 ; 62.02
996 ; 34.25
1000 ; 21.56
1004 ; 28.14
1008 ; 61.27
1012 ; 50.24
1016 ; 52.09
1020 ; 54.22
1024 ; 108.81
1028 ; 155.51
1032 ; 187.95
1036 ; 350.01
1040 ; 1092.07
1044 ; 3570.67
1048 ; 5559.81
1052 ; 3580.06
1056 ; 1235.22
1060 ; 476.70
1064 ; 200.93
1068 ; 134.99
1072 ; 86.94
1076 ; 92.71
1080 ; 100.17
1084 ; 55.17
1088 ; 59.16
1092 ; 46.21
1096 ; 71.08
1100 ; 49.90
1104 ; 42.92
1108 ; 27.50
1112 ; 11.75
1116 ; 56.66
1120 ; 36.17
1124 ; 30.95
1128 ; 46.87
1132 ; 41.04
1136 ; 67.64
1140 ; 11.88
1144 ; -6.97
1148 ; 39.15
1152 ; 51.60
1156 ; 16.13
1160 ; 8.62
1164 ; 6.43
1168 ; 55.40
1172 ; 46.18
1176 ; 22.85
1180 ; 32.01
1184 ; 32.43
1188 ; 38.21
1192 ; 13.18
1196 ; 17.27
1200 ; -7.22
1204 ; 32.15
1208 ; 46.57
1212 ; 33.95
1216 ; 60.48
1220 ; 48.17
1224 ; 6.24
1228 ; 14.91
1232 ; 10.90
1236 ; 55.74
1240 ; 38.62
1244 ; 20.97
1248 ; 26.05
1252 ; 24.35
1256 ; 37.09
1260 ; 29.79
1264 ; 0.66
1268 ; 27.85
1272 ; 66.48
1276 ; 57.63
1280 ; 41.08
1284 ; 2.47
1288 ; 20.27
1292 ; 66.66
1296 ; 60.72
1300 ; 42.92
1304 ; 78.40
1308 ; 62.33
1312 ; 53.71
1316 ; -6.97
1320 ; 46.26
1324 ; 75.40
1328 ; 71.76
1332 ; 36.16
1336 ; 78.87
1340 ; 62.77
1344 ; 105.25
1348 ; 81.01
1352 ; 102.15
1356 ; 112.53
1360 ; 101.55
1364 ; 67.19
1368 ; 86.79
1372 ; 57.88
1376 ; 38.83
1380 ; 49.17
1384 ; 30.93
1388 ; 48.79
1392 ; 39.30
1396 ; 16.92
1400 ; 39.43
1404 ; 69.29
1408 ; 81.91
1412 ; 63.66
1416 ; 117.46
1420 ; 144.34
1424 ; 154.77
1428 ; 92.85
1432 ; 129.58
1436 ; 130.55
1440 ; 134.44
1444 ; 58.44
1448 ; 132.36
1452 ; 95.53
1456 ; 106.43
1460 ; 86.37
1464 ; 155.14
1468 ; 91.99
1472 ; 99.73
1476 ; 102.18
1480 ; 57.97
1484 ; 73.88
1488 ; 49.44
1492 ; 50.20
1496 ; 16.99
1500 ; 22.20
1504 ; 40.43
1508 ; 19.61
1512 ; 46.28
1516 ; 95.04
1520 ; 70.61
1524 ; 37.18
1528 ; 43.38
1532 ; 8.92
1536 ; 22.18
1540 ; -4.20
1544 ; 89.59
1548 ; 76.78
1552 ; -51.85
1556 ; -0.08
1560 ; 26.66
1564 ; 51.93
1568 ; 33.78
1572 ; 50.83
1576 ; 78.89
1580 ; 12.91
1584 ; -17.02
1588 ; 70.11
1592 ; 56.65
1596 ; 13.26
1600 ; 46.51
1604 ; 20.98
1608 ; 40.89
1612 ; 26.03
1616 ; 62.97
1620 ; -5.56
1624 ; 40.50
1628 ; 8.66
1632 ; 75.97
1636 ; 138.26
1640 ; 134.41
1644 ; 57.89
1648 ; 101.33
1652 ; 92.41
1656 ; 50.98
1660 ; 68.88
1664 ; 41.77
1668 ; 3.42
1672 ; -5.25
1676 ; 103.84
1680 ; 14.50
1684 ; 40.73
1688 ; 34.54
1692 ; 55.25
1696 ; -17.35
1700 ; 24.56
1704 ; 102.23
1708 ; 32.28
1712 ; -15.77
1716 ; 57.61
1720 ; 34.40
1724 ; 52.49
1728 ; -13.97
1732 ; 47.78
1736 ; 67.81
1740 ; 16.69
1744 ; -29.92
1748 ; 61.34
1752 ; 12.04
1756 ; -62.12
1760 ; 0.45
1764 ; 94.94
1768 ; 69.87
1772 ; -37.30
1776 ; 64.92
1780 ; -44.23
1784 ; -25.27
1788 ; 17.23
1792 ; 49.34
1796 ; 14.56
1800 ; -56.56
1804 ; 60.60
1808 ; -20.36
1812 ; -2.85
1816 ; 84.07
1820 ; 5.61
1824 ; 4.33
1828 ; -43.70
1832 ; 76.49
1836 ; -19.97
1840 ; 19.12
1844 ; 93.62
1848 ; -19.81
1852 ; -76.25
1856 ; 41.81
1860 ; 77.30
1864 ; -16.17
1868 ; 22.32
1872 ; 97.51
1876 ; -72.47
1880 ; 48.15
1884 ; 63.17
1888 ; 17.43
1892 ; -45.12
1896 ; 112.78
1900 ; -66.70
1904 ; -23.96
1908 ; 123.28
1912 ; 27.87
1916 ; 99.90
1920 ; 98.40
1924 ; 26.90
1928 ; -33.61
1932 ; 69.83
1936 ; 88.05
1940 ; 8.47
1944 ; -80.53
1948 ; -50.83
1952 ; 58.31
1956 ; 141.37
1960 ; 91.01
1964 ; 80.34
1968 ; -3.35
1972 ; 36.81
1976 ; 125.63
1980 ; -92.04
1984 ; 33.68
1988 ; 102.87
1992 ; -36.19
1996 ; -61.07
2000 ; 87.71
2004 ; -45.01
2008 ; 12.35
2012 ; 100.60
2016 ; -20.33
2020 ; 47.03
2024 ; -27.68
2028 ; -75.99
2032 ; -153.69
2036 ; 72.65
2040 ; 21.75
2044 ; -113.38
2048 ; 155.54
2052 ; -61.86
2056 ; -155.60
2060 ; 47.44
2064 ; -33.95
2068 ; -62.44
2072 ; 74.23
2076 ; 17.92
2080 ; -117.51
2084 ; 166.99
2088 ; 28.41
2092 ; -3.37
2096 ; -58.95
2100 ; 62.52
2104 ; 34.83
2108 ; 103.84
2112 ; 51.36
2116 ; -136.64
2120 ; 31.79
2124 ; 11.75
2128 ; 120.73
2132 ; 27.01
2136 ; -56.87
2140 ; -118.19
2144 ; 205.30
2148 ; 101.06
2152 ; 95.27
2156 ; 139.05
2160 ; -205.68
2164 ; 128.67
2168 ; 87.10
2172 ; -163.52
2176 ; 31.83
2180 ; 3.28
2184 ; -45.79
2188 ; 46.56
2192 ; -9.36
2196 ; -167.69
2200 ; 57.06
2204 ; 82.42
2208 ; -169.95
2212 ; 138.68
2216 ; -57.73
2220 ; -47.05
2224 ; 204.86
2228 ; 60.00
2232 ; 171.99
2236 ; -26.77
2240 ; -162.05
2244 ; 61.29
2248 ; -78.48
2252 ; 33.00
2256 ; 154.74
2260 ; -118.38
2264 ; -104.62
2268 ; 171.71
2272 ; -231.44
2276 ; 334.26
2280 ; -103.95
2284 ; -20.41
2288 ; 96.42
2292 ; 68.54
