Raman Shift ; Dark Subtracted
176 ; 1224.53
180 ; 1020.64
184 ; 855.95
188 ; 745.36
192 ; 642.93
196 ; 562.66
200 ; 494.69
204 ; 458.08
208 ; 418.86
212 ; 394.84
216 ; 370.30
220 ; 326.50
224 ; 284.80
228 ; 286.70
232 ; 278.41
236 ; 256.55
240 ; 247.66
244 ; 240.66
248 ; 230.73
252 ; 215.30
256 ; 189.62
260 ; 208.97
264 ; 211.24
268 ; 180.96
272 ; 159.23
276 ; 160.89
280 ; 156.09
284 ; 162.40
288 ; 156.90
292 ; 145.81
296 ; 132.57
300 ; 145.87
304 ; 128.83
308 ; 153.18
312 ; 134.07
316 ; 101.00
320 ; 104.26
324 ; 133.29
328 ; 129.90
332 ; 113.09
336 ; 103.47
340 ; 95.32
344 ; 113.11
348 ; 112.22
352 ; 112.98
356 ; 117.27
360 ; 108.44
364 ; 96.33
368 ; 106.54
372 ; 108.82
376 ; 106.84
380 ; 107.73
384 ; 108.64
388 ; 102.84
392 ; 119.98
396 ; 113.17
400 ; 114.01
404 ; 107.69
408 ; 98.14
412 ; 98.40
416 ; 105.09
420 ; 100.89
424 ; 111.98
428 ; 83.02
432 ; 95.77
436 ; 95.86
440 ; 87.97
444 ; 93.06
448 ; 96.81
452 ; 84.94
456 ; 86.89
460 ; 99.01
464 ; 101.92
468 ; 102.25
472 ; 85.84
476 ; 84.40
480 ; 83.73
484 ; 95.79
488 ; 85.89
492 ; 78.07
496 ; 89.66
500 ; 89.76
504 ; 95.60
508 ; 100.83
512 ; 106.52
516 ; 78.31
520 ; 87.36
524 ; 98.35
528 ; 91.79
532 ; 97.95
536 ; 95.09
540 ; 86.94
544 ; 103.00
548 ; 92.40
552 ; 107.78
556 ; 120.38
560 ; 97.68
564 ; 105.61
568 ; 115.58
572 ; 107.06
576 ; 93.50
580 ; 108.97
584 ; 99.66
588 ; 103.91
592 ; 113.99
596 ; 102.66
600 ; 96.39
604 ; 103.70
608 ; 101.84
612 ; 101.71
616 ; 96.76
620 ; 87.26
624 ; 97.23
628 ; 89.56
632 ; 99.87
636 ; 92.90
640 ; 56.11
644 ; 53.63
648 ; 68.68
652 ; 80.76
656 ; 77.39
660 ; 66.08
664 ; 72.53
668 ; 82.81
672 ; 68.01
676 ; 70.72
680 ; 62.86
684 ; 47.12
688 ; 62.88
692 ; 74.35
696 ; 60.30
700 ; 58.05
704 ; 82.90
708 ; 135.21
712 ; 198.40
716 ; 216.10
720 ; 201.52
724 ; 129.26
728 ; 94.76
732 ; 105.42
736 ; 193.48
740 ; 266.25
744 ; 293.04
748 ; 201.59
752 ; 136.43
756 ; 75.78
760 ; 60.83
764 ; 37.04
768 ; 50.48
772 ; 33.67
776 ; 60.73
780 ; 43.26
784 ; 35.92
788 ; 49.09
792 ; 43.15
796 ; 66.31
800 ; 40.79
804 ; 40.17
808 ; 49.94
812 ; 38.52
816 ; 64.94
820 ; 74.05
824 ; 45.14
828 ; 35.35
832 ; 62.79
836 ; 44.19
840 ; 34.55
844 ; 41.08
848 ; 46.02
852 ; 62.42
856 ; 58.33
860 ; 58.64
864 ; 39.79
868 ; 48.09
872 ; 52.20
876 ; 58.04
880 ; 56.48
884 ; 34.11
888 ; 37.07
892 ; 41.03
896 ; 41.47
900 ; 31.97
904 ; 50.53
908 ; 53.62
912 ; 64.81
916 ; 39.73
920 ; 31.02
924 ; 32.62
928 ; 28.62
932 ; 60.78
936 ; 63.27
940 ; 35.99
944 ; 45.63
948 ; 61.45
952 ; 53.00
956 ; 45.80
960 ; 33.49
964 ; 93.65
968 ; 58.80
972 ; 53.19
976 ; 21.09
980 ; 41.08
984 ; 62.66
988 ; 64.91
992 ; 46.78
996 ; 47.26
1000 ; 76.58
1004 ; 76.55
1008 ; 74.35
1012 ; 75.09
1016 ; 61.54
1020 ; 107.80
1024 ; 138.00
1028 ; 160.52
1032 ; 228.46
1036 ; 411.89
1040 ; 1230.05
1044 ; 3893.80
1048 ; 5700.33
1052 ; 3573.79
1056 ; 1279.48
1060 ; 489.90
1064 ; 264.04
1068 ; 142.10
1072 ; 133.51
1076 ; 101.05
1080 ; 90.28
1084 ; 61.40
1088 ; 65.31
1092 ; 65.31
1096 ; 57.86
1100 ; 78.58
1104 ; 30.28
1108 ; 50.73
1112 ; 76.08
1116 ; 65.45
1120 ; 37.65
1124 ; 53.14
1128 ; 86.01
1132 ; 68.35
1136 ; 74.30
1140 ; 51.84
1144 ; 39.15
1148 ; 67.80
1152 ; 27.03
1156 ; 28.90
1160 ; 30.65
1164 ; 62.81
1168 ; 71.28
1172 ; 57.02
1176 ; 32.67
1180 ; 40.02
1184 ; 49.52
1188 ; 68.59
1192 ; 47.59
1196 ; 31.49
1200 ; 40.92
1204 ; 73.00
1208 ; 29.20
1212 ; 66.35
1216 ; 68.87
1220 ; 55.49
1224 ; 63.59
1228 ; 31.24
1232 ; 38.30
1236 ; 45.99
1240 ; 36.63
1244 ; 30.65
1248 ; 68.88
1252 ; 65.54
1256 ; 5.80
1260 ; 0.44
1264 ; 42.19
1268 ; 64.51
1272 ; 31.39
1276 ; 70.58
1280 ; 47.55
1284 ; 28.22
1288 ; 24.02
1292 ; 25.68
1296 ; 20.69
1300 ; 84.50
1304 ; 99.92
1308 ; 73.71
1312 ; -19.47
1316 ; 81.79
1320 ; 66.83
1324 ; 90.38
1328 ; 45.04
1332 ; 94.09
1336 ; 154.30
1340 ; 74.44
1344 ; 123.42
1348 ; 190.31
1352 ; 207.44
1356 ; 181.73
1360 ; 185.62
1364 ; 138.56
1368 ; 151.69
1372 ; 69.41
1376 ; 74.45
1380 ; 50.78
1384 ; 67.11
1388 ; 75.90
1392 ; 36.14
