Raman Shift ; Dark Subtracted
176 ; 2417.74
180 ; 2036.65
184 ; 1710.73
188 ; 1450.68
192 ; 1300.54
196 ; 1175.82
200 ; 1056.02
204 ; 960.33
208 ; 872.33
212 ; 793.70
216 ; 751.17
220 ; 678.78
224 ; 631.85
228 ; 599.01
232 ; 557.67
236 ; 521.76
240 ; 516.07
244 ; 512.62
248 ; 487.26
252 ; 458.70
256 ; 439.00
260 ; 402.75
264 ; 392.34
268 ; 407.10
272 ; 381.48
276 ; 366.95
280 ; 345.56
284 ; 334.05
288 ; 321.65
292 ; 307.31
296 ; 314.50
300 ; 296.48
304 ; 281.06
308 ; 284.51
312 ; 267.13
316 ; 264.53
320 ; 258.68
324 ; 256.66
328 ; 252.00
332 ; 251.45
336 ; 244.24
340 ; 242.17
344 ; 238.92
348 ; 240.05
352 ; 253.73
356 ; 256.19
360 ; 233.36
364 ; 237.14
368 ; 236.12
372 ; 235.95
376 ; 257.01
380 ; 269.26
384 ; 259.36
388 ; 241.71
392 ; 229.63
396 ; 240.29
400 ; 231.53
404 ; 234.24
408 ; 226.69
412 ; 238.62
416 ; 245.86
420 ; 235.55
424 ; 239.81
428 ; 249.72
432 ; 232.75
436 ; 220.83
440 ; 209.12
444 ; 225.08
448 ; 214.70
452 ; 237.26
456 ; 210.77
460 ; 190.99
464 ; 199.69
468 ; 186.17
472 ; 202.48
476 ; 188.20
480 ; 198.66
484 ; 181.59
488 ; 201.55
492 ; 207.18
496 ; 195.33
500 ; 188.13
504 ; 191.79
508 ; 183.35
512 ; 182.36
516 ; 193.00
520 ; 190.41
524 ; 200.25
528 ; 169.25
532 ; 206.23
536 ; 193.70
540 ; 207.37
544 ; 200.30
548 ; 204.79
552 ; 201.83
556 ; 212.37
560 ; 199.53
564 ; 198.63
568 ; 207.53
572 ; 209.82
576 ; 220.93
580 ; 223.91
584 ; 211.86
588 ; 209.11
592 ; 214.55
596 ; 216.16
600 ; 203.17
604 ; 200.52
608 ; 190.86
612 ; 200.48
616 ; 188.69
620 ; 199.26
624 ; 183.66
628 ; 166.45
632 ; 157.46
636 ; 167.58
640 ; 177.55
644 ; 161.77
648 ; 144.45
652 ; 133.59
656 ; 141.05
660 ; 155.76
664 ; 156.64
668 ; 144.76
672 ; 129.14
676 ; 156.76
680 ; 140.63
684 ; 151.07
688 ; 141.20
692 ; 160.03
696 ; 165.32
700 ; 182.89
704 ; 215.90
708 ; 322.75
712 ; 435.93
716 ; 488.37
720 ; 424.25
724 ; 299.59
728 ; 222.22
732 ; 280.38
736 ; 480.17
740 ; 727.40
744 ; 685.26
748 ; 477.99
752 ; 279.51
756 ; 172.34
760 ; 126.15
764 ; 111.46
768 ; 129.02
772 ; 101.33
776 ; 122.53
780 ; 111.00
784 ; 124.37
788 ; 101.07
792 ; 108.84
796 ; 131.86
800 ; 130.76
804 ; 109.68
808 ; 87.91
812 ; 97.57
816 ; 129.69
820 ; 109.43
824 ; 116.46
828 ; 106.81
832 ; 110.33
836 ; 111.35
840 ; 127.76
844 ; 115.85
848 ; 105.01
852 ; 88.70
