Raman Shift ; Dark Subtracted
176 ; 935.42
180 ; 819.04
184 ; 682.66
188 ; 632.46
192 ; 575.86
196 ; 529.08
200 ; 462.04
204 ; 424.51
208 ; 392.20
212 ; 373.00
216 ; 338.43
220 ; 326.82
224 ; 314.87
228 ; 284.95
232 ; 265.93
236 ; 258.94
240 ; 270.28
244 ; 253.04
248 ; 242.00
252 ; 229.97
256 ; 227.15
260 ; 236.83
264 ; 221.42
268 ; 206.11
272 ; 209.59
276 ; 200.11
280 ; 199.00
284 ; 190.24
288 ; 174.66
292 ; 172.13
296 ; 149.76
300 ; 145.09
304 ; 154.42
308 ; 159.47
312 ; 166.07
316 ; 145.79
320 ; 128.24
324 ; 133.42
328 ; 119.20
332 ; 136.59
336 ; 127.86
340 ; 135.01
344 ; 136.34
348 ; 129.69
352 ; 145.89
356 ; 151.89
360 ; 149.38
364 ; 147.29
368 ; 129.54
372 ; 131.08
376 ; 140.39
380 ; 144.39
384 ; 141.04
388 ; 131.10
392 ; 131.41
396 ; 138.15
400 ; 146.65
404 ; 138.39
408 ; 121.23
412 ; 128.40
416 ; 129.13
420 ; 135.14
424 ; 133.95
428 ; 130.60
432 ; 115.17
436 ; 120.92
440 ; 123.63
444 ; 121.55
448 ; 141.87
452 ; 129.70
456 ; 123.93
460 ; 119.70
464 ; 126.46
468 ; 117.82
472 ; 123.50
476 ; 117.50
480 ; 105.34
484 ; 103.95
488 ; 114.42
492 ; 109.03
496 ; 99.64
500 ; 106.04
504 ; 92.28
508 ; 115.09
512 ; 114.85
516 ; 104.24
520 ; 96.22
524 ; 98.17
528 ; 105.46
532 ; 110.25
536 ; 100.84
540 ; 105.30
544 ; 89.73
548 ; 110.43
552 ; 122.11
556 ; 109.33
560 ; 111.11
564 ; 105.69
568 ; 109.09
572 ; 134.23
576 ; 116.19
580 ; 89.19
584 ; 102.00
588 ; 101.38
592 ; 140.25
596 ; 112.55
600 ; 105.05
604 ; 88.50
608 ; 92.98
612 ; 104.13
616 ; 102.51
620 ; 98.07
624 ; 86.47
628 ; 92.81
632 ; 86.77
636 ; 97.98
640 ; 81.27
644 ; 61.08
648 ; 71.07
652 ; 77.41
656 ; 91.08
660 ; 86.96
664 ; 73.30
668 ; 76.62
672 ; 63.48
676 ; 79.69
680 ; 91.29
684 ; 71.23
688 ; 62.43
692 ; 84.92
696 ; 87.96
700 ; 103.88
704 ; 132.38
708 ; 194.57
