Raman Shift ; Dark Subtracted
176 ; 292.91
180 ; 278.64
184 ; 280.88
188 ; 285.36
192 ; 284.02
196 ; 285.54
200 ; 290.93
204 ; 286.57
208 ; 278.35
212 ; 294.48
216 ; 303.98
220 ; 296.67
224 ; 276.81
228 ; 273.84
232 ; 262.73
236 ; 217.37
240 ; 205.17
244 ; 176.86
248 ; 168.06
252 ; 152.97
256 ; 146.02
260 ; 136.94
264 ; 132.97
268 ; 127.97
272 ; 144.60
276 ; 133.41
280 ; 141.49
284 ; 130.98
288 ; 135.18
292 ; 142.23
296 ; 141.64
300 ; 135.44
304 ; 129.56
308 ; 147.48
312 ; 151.56
316 ; 137.55
320 ; 142.05
324 ; 144.75
328 ; 142.66
332 ; 129.24
336 ; 139.56
340 ; 140.77
344 ; 144.14
348 ; 147.52
352 ; 147.94
356 ; 146.53
360 ; 152.83
364 ; 155.47
368 ; 151.80
372 ; 149.33
376 ; 135.61
380 ; 118.05
384 ; 110.03
388 ; 112.52
392 ; 117.67
396 ; 125.35
400 ; 120.17
404 ; 130.20
408 ; 124.44
412 ; 114.76
416 ; 113.70
420 ; 112.41
424 ; 124.23
428 ; 103.71
432 ; 96.28
436 ; 103.80
440 ; 110.35
444 ; 101.50
448 ; 108.29
452 ; 101.42
456 ; 101.52
460 ; 108.96
464 ; 102.31
468 ; 92.22
472 ; 98.10
476 ; 109.04
480 ; 108.28
484 ; 98.88
488 ; 99.56
492 ; 93.72
496 ; 111.37
500 ; 102.32
504 ; 93.55
508 ; 101.10
512 ; 85.44
516 ; 91.86
520 ; 101.49
524 ; 75.14
528 ; 88.64
532 ; 94.43
536 ; 93.22
540 ; 114.17
544 ; 94.98
548 ; 101.30
552 ; 91.33
556 ; 96.68
560 ; 96.50
564 ; 95.32
568 ; 90.57
572 ; 86.14
576 ; 88.52
580 ; 76.88
584 ; 86.58
588 ; 84.58
592 ; 88.44
596 ; 84.24
600 ; 89.28
604 ; 93.86
608 ; 80.54
612 ; 85.51
616 ; 81.17
620 ; 79.86
624 ; 92.94
628 ; 82.94
632 ; 76.04
636 ; 82.21
640 ; 95.52
644 ; 93.52
648 ; 95.32
652 ; 96.81
656 ; 92.35
660 ; 100.05
664 ; 87.01
668 ; 87.69
672 ; 110.80
676 ; 102.49
680 ; 85.82
684 ; 89.93
688 ; 85.00
692 ; 92.68
696 ; 85.05
700 ; 111.31
704 ; 110.54
708 ; 114.31
712 ; 118.37
716 ; 136.22
720 ; 168.53
724 ; 196.09
728 ; 192.97
732 ; 205.13
736 ; 166.93
740 ; 150.64
744 ; 125.87
748 ; 105.89
752 ; 75.63
756 ; 80.00
760 ; 67.27
764 ; 77.02
768 ; 68.57
772 ; 74.49
776 ; 82.68
780 ; 71.08
784 ; 70.86
788 ; 80.71
792 ; 65.54
796 ; 75.60
800 ; 76.67
804 ; 66.90
808 ; 84.32
812 ; 87.03
816 ; 79.52
820 ; 70.55
824 ; 71.10
828 ; 70.59
832 ; 71.82
836 ; 54.41
840 ; 70.77
844 ; 75.77
848 ; 55.03
852 ; 79.51
856 ; 80.09
860 ; 73.34
864 ; 85.73
868 ; 78.10
872 ; 68.97
876 ; 71.40
880 ; 76.36
884 ; 78.27
888 ; 67.46
892 ; 82.69
896 ; 59.20
900 ; 63.66
904 ; 79.57
908 ; 68.06
912 ; 69.33
916 ; 104.41
920 ; 79.93
924 ; 66.58
928 ; 74.78
932 ; 36.87
936 ; 43.67
940 ; 57.64
944 ; 73.57
948 ; 80.63
952 ; 89.10
956 ; 80.39
960 ; 86.21
964 ; 81.14
968 ; 61.97
972 ; 75.63
976 ; 70.28
980 ; 77.07
984 ; 91.84
988 ; 91.92
992 ; 75.95
996 ; 82.23
1000 ; 77.57
1004 ; 63.62
1008 ; 86.90
1012 ; 69.89
1016 ; 89.96
1020 ; 95.99
1024 ; 111.11
1028 ; 116.16
1032 ; 120.67
1036 ; 157.10
1040 ; 192.38
1044 ; 246.75
1048 ; 496.85
1052 ; 2052.36
1056 ; 4701.10
1060 ; 3865.96
1064 ; 1396.19
1068 ; 533.85
1072 ; 282.92
1076 ; 160.61
1080 ; 153.31
1084 ; 131.98
1088 ; 133.59
1092 ; 101.82
1096 ; 115.62
1100 ; 104.43
1104 ; 79.51
1108 ; 104.16
1112 ; 95.77
1116 ; 96.13
1120 ; 115.11
1124 ; 145.36
1128 ; 128.57
1132 ; 113.31
1136 ; 124.20
1140 ; 66.72
1144 ; 90.32
1148 ; 97.75
1152 ; 68.87
1156 ; 81.43
1160 ; 92.04
1164 ; 72.60
1168 ; 73.50
1172 ; 103.92
1176 ; 62.08
1180 ; 91.30
1184 ; 66.61
1188 ; 32.91
1192 ; 55.79
1196 ; 52.12
1200 ; 38.74
1204 ; 68.73
1208 ; 47.81
1212 ; 95.15
1216 ; 50.73
1220 ; 53.08
1224 ; 52.39
1228 ; 96.23
1232 ; 67.42
1236 ; 62.35
1240 ; 60.28
1244 ; 75.79
1248 ; 33.66
1252 ; 60.64
1256 ; 50.32
1260 ; 67.90
1264 ; 86.14
1268 ; 88.49
1272 ; 82.30
1276 ; 54.40
1280 ; 66.42
1284 ; 75.23
1288 ; 94.07
1292 ; 114.89
1296 ; 126.64
1300 ; 121.86
1304 ; 102.00
1308 ; 117.54
1312 ; 87.38
1316 ; 89.98
1320 ; 83.27
1324 ; 110.46
1328 ; 90.75
1332 ; 106.76
1336 ; 97.34
1340 ; 168.91
1344 ; 85.91
1348 ; 147.35
1352 ; 120.36
1356 ; 137.95
1360 ; 158.16
1364 ; 145.41
