Raman Shift ; Dark Subtracted
176 ; 220.57
180 ; 243.89
184 ; 228.74
188 ; 224.45
192 ; 220.52
196 ; 209.50
200 ; 216.02
204 ; 226.33
208 ; 236.07
212 ; 235.86
216 ; 249.17
220 ; 241.50
224 ; 252.40
228 ; 247.36
232 ; 207.70
236 ; 170.18
240 ; 160.85
244 ; 137.01
248 ; 137.42
252 ; 130.46
256 ; 107.42
260 ; 98.17
264 ; 91.40
268 ; 100.30
272 ; 107.47
276 ; 101.99
280 ; 96.08
284 ; 94.84
288 ; 98.97
292 ; 109.46
296 ; 98.59
300 ; 106.05
304 ; 92.75
308 ; 95.32
312 ; 90.52
316 ; 108.77
320 ; 123.25
324 ; 112.78
328 ; 119.25
332 ; 103.22
336 ; 107.56
340 ; 111.04
344 ; 119.05
348 ; 108.20
352 ; 109.11
356 ; 119.73
360 ; 116.15
364 ; 125.02
368 ; 114.01
372 ; 97.85
376 ; 93.89
380 ; 95.69
384 ; 90.99
388 ; 99.12
392 ; 82.89
396 ; 87.66
400 ; 80.58
404 ; 86.41
408 ; 85.84
412 ; 92.96
416 ; 83.99
420 ; 64.62
424 ; 49.13
428 ; 78.79
432 ; 88.88
436 ; 71.67
440 ; 69.27
444 ; 85.81
448 ; 76.82
452 ; 83.70
456 ; 65.06
460 ; 63.12
464 ; 63.05
468 ; 74.20
472 ; 66.75
476 ; 78.03
480 ; 72.53
484 ; 68.11
488 ; 63.97
492 ; 70.77
496 ; 77.90
500 ; 89.88
504 ; 69.37
508 ; 71.25
512 ; 53.74
516 ; 66.07
520 ; 73.55
524 ; 56.01
528 ; 63.05
532 ; 63.47
536 ; 64.90
540 ; 63.37
544 ; 73.50
548 ; 66.29
552 ; 60.33
556 ; 66.91
560 ; 75.03
564 ; 71.26
568 ; 64.32
572 ; 58.52
576 ; 74.88
580 ; 63.12
584 ; 58.61
588 ; 49.60
592 ; 46.96
596 ; 51.29
600 ; 67.55
604 ; 66.26
608 ; 66.22
612 ; 56.28
616 ; 51.66
620 ; 67.09
624 ; 68.18
628 ; 55.81
632 ; 50.31
636 ; 54.08
640 ; 73.28
644 ; 54.73
648 ; 72.59
652 ; 73.58
656 ; 57.29
660 ; 78.84
664 ; 63.83
668 ; 68.29
672 ; 56.63
676 ; 48.08
680 ; 58.80
684 ; 92.88
688 ; 77.07
692 ; 79.22
696 ; 76.50
700 ; 60.13
704 ; 92.33
708 ; 98.24
712 ; 101.38
716 ; 103.38
720 ; 146.45
724 ; 181.46
728 ; 189.40
732 ; 161.01
736 ; 144.43
740 ; 114.58
744 ; 95.75
748 ; 91.07
752 ; 65.57
756 ; 63.69
760 ; 53.82
764 ; 48.50
768 ; 62.60
772 ; 59.61
776 ; 54.86
780 ; 45.14
784 ; 66.67
788 ; 53.74
792 ; 54.76
796 ; 34.91
800 ; 42.58
804 ; 56.48
808 ; 64.65
812 ; 51.51
816 ; 52.44
820 ; 47.18
824 ; 62.23
828 ; 61.39
832 ; 35.03
836 ; 16.79
840 ; 33.88
844 ; 65.72
848 ; 64.81
852 ; 46.22
856 ; 47.67
860 ; 42.71
864 ; 54.81
868 ; 40.33
872 ; 26.08
876 ; 45.26
880 ; 61.62
884 ; 49.90
888 ; 76.81
892 ; 39.36
896 ; 59.92
900 ; 42.13
904 ; 46.20
908 ; 45.63
912 ; 34.77
916 ; 37.48
920 ; 47.46
924 ; 54.68
928 ; 43.86
932 ; 29.66
936 ; 44.17
940 ; 71.38
944 ; 34.78
948 ; 46.57
952 ; 33.28
956 ; 55.62
960 ; 90.49
964 ; 68.78
968 ; 39.53
972 ; 31.97
976 ; 46.05
980 ; 66.12
984 ; 44.57
988 ; 47.09
992 ; 79.33
996 ; 61.32
1000 ; 82.31
1004 ; 36.13
1008 ; 53.62
1012 ; 43.93
1016 ; 69.57
1020 ; 73.67
1024 ; 40.29
1028 ; 66.99
1032 ; 112.65
1036 ; 143.63
1040 ; 141.68
1044 ; 203.17
1048 ; 429.94
1052 ; 1825.67
1056 ; 4352.33
1060 ; 3674.48
1064 ; 1393.62
1068 ; 515.82
1072 ; 273.70
1076 ; 130.69
1080 ; 112.68
1084 ; 93.82
1088 ; 111.55
1092 ; 91.04
1096 ; 47.77
1100 ; 75.81
1104 ; 74.47
1108 ; 77.90
1112 ; 39.67
1116 ; 57.76
1120 ; 58.47
1124 ; 91.66
1128 ; 90.86
1132 ; 47.09
1136 ; 77.31
1140 ; 80.86
1144 ; 58.69
1148 ; 45.90
1152 ; 50.26
1156 ; 56.53
1160 ; 47.62
1164 ; 79.63
1168 ; 23.97
1172 ; 63.92
1176 ; 73.08
1180 ; 57.15
1184 ; 44.35
1188 ; 39.22
1192 ; 56.08
1196 ; 62.06
1200 ; 29.13
1204 ; 23.60
1208 ; 65.01
1212 ; 90.99
1216 ; 51.51
1220 ; 34.20
1224 ; 17.57
1228 ; 56.17
1232 ; 31.59
1236 ; 16.04
1240 ; 81.66
1244 ; 81.85
1248 ; 56.40
1252 ; 21.84
1256 ; 18.77
1260 ; 51.02
1264 ; 71.54
1268 ; 56.75
1272 ; 36.39
1276 ; 68.85
1280 ; 81.45
1284 ; 46.08
1288 ; 35.44
1292 ; 67.44
1296 ; 113.27
1300 ; 38.64
1304 ; 49.10
1308 ; 88.78
1312 ; 57.56
1316 ; 89.14
1320 ; 65.66
1324 ; 42.04
1328 ; 67.51
1332 ; 89.57
1336 ; 54.61
1340 ; 88.77
1344 ; 103.34
1348 ; 118.90
1352 ; 83.55
1356 ; 109.37
1360 ; 160.61
1364 ; 149.66
1368 ; 105.41
1372 ; 126.89
1376 ; 120.85
1380 ; 74.65
1384 ; 86.93
1388 ; 64.95
1392 ; 97.44
1396 ; 111.24
1400 ; 91.64
1404 ; 61.84
1408 ; 94.09
1412 ; 124.15
1416 ; 92.01
1420 ; 145.74
1424 ; 241.91
1428 ; 222.95
1432 ; 238.59
1436 ; 183.26
1440 ; 227.89
1444 ; 193.50
1448 ; 112.87
1452 ; 127.11
1456 ; 145.27
1460 ; 103.73
1464 ; 67.71
1468 ; 47.02
1472 ; 124.43
1476 ; 58.99
1480 ; 21.57
1484 ; 33.36
1488 ; 69.78
1492 ; 61.16
1496 ; 40.93
1500 ; 31.97
1504 ; 32.55
1508 ; -4.97
1512 ; -0.13
1516 ; 41.82
1520 ; 64.92
1524 ; 54.51
1528 ; 45.32
1532 ; 44.84
1536 ; 52.27
1540 ; 36.19
1544 ; 41.82
1548 ; 34.42
1552 ; 15.90
1556 ; 35.00
1560 ; 26.71
1564 ; 86.50
1568 ; 49.98
1572 ; -31.11
1576 ; 28.34
1580 ; 98.47
1584 ; 14.05
1588 ; 31.62
1592 ; 29.68
1596 ; 88.38
1600 ; 41.34
1604 ; 32.55
1608 ; 76.40
1612 ; 82.00
1616 ; 41.00
1620 ; 21.21
1624 ; 50.77
1628 ; 54.04
1632 ; 39.03
1636 ; 87.35
1640 ; 149.01
1644 ; 65.10
1648 ; 70.67
1652 ; 108.98
1656 ; 84.70
1660 ; 101.52
1664 ; 91.87
1668 ; 76.14
1672 ; 41.68
1676 ; -17.10
1680 ; 114.87
1684 ; 112.30
1688 ; 16.39
1692 ; 39.62
1696 ; 58.33
1700 ; 69.53
1704 ; 20.51
1708 ; 53.58
1712 ; 62.67
1716 ; -1.33
1720 ; -16.91
1724 ; 74.63
1728 ; 71.69
1732 ; 30.07
1736 ; -17.43
1740 ; 84.93
1744 ; 59.85
1748 ; -2.53
1752 ; 39.39
1756 ; 61.74
1760 ; -76.61
1764 ; 31.27
1768 ; 48.45
1772 ; 114.80
1776 ; 39.94
1780 ; 76.38
1784 ; -29.25
1788 ; 52.08
1792 ; 43.42
1796 ; 27.87
1800 ; 52.12
1804 ; 22.83
1808 ; 86.87
1812 ; -41.80
1816 ; 64.73
1820 ; 83.54
1824 ; 112.11
1828 ; -20.78
1832 ; -27.32
1836 ; 155.54
1840 ; 27.26
1844 ; 74.14
1848 ; 88.24
1852 ; -17.56
1856 ; 63.78
1860 ; 69.84
1864 ; 90.30
1868 ; -76.65
1872 ; -23.62
1876 ; 168.55
1880 ; 15.18
1884 ; 110.52
1888 ; 55.92
1892 ; -6.09
1896 ; 12.45
1900 ; 124.82
1904 ; 83.16
1908 ; 17.21
1912 ; 117.77
1916 ; 72.11
1920 ; 10.93
1924 ; 5.99
1928 ; 146.72
1932 ; 31.73
1936 ; 25.34
1940 ; 53.08
1944 ; 92.31
1948 ; 13.45
1952 ; 139.68
1956 ; 1.61
1960 ; -49.64
1964 ; -38.96
1968 ; 78.71
1972 ; -48.49
1976 ; 137.91
1980 ; 67.51
1984 ; 28.40
1988 ; 57.48
1992 ; 76.80
1996 ; 11.83
2000 ; 54.71
2004 ; 68.40
2008 ; -15.58
2012 ; 49.58
2016 ; 89.79
2020 ; -75.56
2024 ; 47.14
2028 ; 165.50
2032 ; 17.55
2036 ; 32.84
2040 ; 90.13
2044 ; -24.40
2048 ; 12.99
2052 ; 181.44
2056 ; 85.68
2060 ; -51.76
2064 ; 177.76
2068 ; 67.57
2072 ; 116.30
2076 ; 149.96
2080 ; -21.41
2084 ; -44.17
2088 ; 178.28
2092 ; 114.58
2096 ; 83.80
2100 ; 33.34
2104 ; 44.36
2108 ; -27.06
2112 ; 135.37
2116 ; -15.72
2120 ; 67.13
2124 ; 7.60
2128 ; 184.94
2132 ; -195.37
2136 ; 254.83
2140 ; 22.67
2144 ; 129.16
2148 ; 197.26
2152 ; 157.92
2156 ; 61.73
2160 ; 304.74
2164 ; -70.63
2168 ; 159.05
2172 ; 111.07
2176 ; 26.37
2180 ; -65.85
2184 ; 121.32
2188 ; 30.43
2192 ; 337.41
2196 ; 197.56
2200 ; 107.70
2204 ; 112.14
2208 ; -25.81
2212 ; 90.74
2216 ; 220.69
2220 ; -21.47
2224 ; 84.14
2228 ; 115.85
2232 ; -11.78
2236 ; 178.95
2240 ; 156.17
2244 ; -101.23
2248 ; 328.97
2252 ; 26.13
2256 ; -1.65
2260 ; 116.09
2264 ; -165.77
2268 ; -156.53
2272 ; 113.51
2276 ; 156.24
2280 ; 56.55
2284 ; 219.29
2288 ; -16.29
2292 ; 255.93
2296 ; -208.70
2300 ; 206.03
2304 ; 282.51
2308 ; -40.44
2312 ; 186.21
2316 ; 69.35
2320 ; 122.53
2324 ; 255.78
2328 ; 147.57
2332 ; 93.30
2336 ; 253.97
2340 ; -284.54
2344 ; 295.75
2348 ; -87.30
2352 ; 158.05
2356 ; 296.42
2360 ; -77.18
2364 ; -0.32
2368 ; 12.64
2372 ; -79.78
2376 ; 89.86
2380 ; -79.72
2384 ; 140.41
2388 ; 21.85
2392 ; 19.70
2396 ; 400.18
2400 ; 119.20
2404 ; 14.07
2408 ; 62.57
2412 ; -108.69
2416 ; 499.29
2420 ; 262.05
2424 ; 144.14
2428 ; -162.29
2432 ; -174.96
2436 ; 449.36
2440 ; 460.56
2444 ; 330.22
2448 ; 49.14
2452 ; 177.64
2456 ; 383.41
2460 ; -23.39
2464 ; 98.88
2468 ; -261.61
2472 ; 72.99
2476 ; 635.69
2480 ; -11.24
2484 ; -34.28
2488 ; -73.61
2492 ; 271.85
2496 ; 557.35
2500 ; 17.22
