Raman Shift ; Dark Subtracted
176 ; 778.91
180 ; 784.38
184 ; 740.05
188 ; 744.15
192 ; 747.83
196 ; 765.07
200 ; 800.18
204 ; 761.44
208 ; 747.82
212 ; 773.27
216 ; 758.41
220 ; 800.84
224 ; 783.44
228 ; 739.58
232 ; 689.94
236 ; 600.99
240 ; 547.17
244 ; 493.82
248 ; 443.90
252 ; 428.69
256 ; 411.94
260 ; 393.19
264 ; 375.42
268 ; 365.47
272 ; 367.89
276 ; 371.79
280 ; 377.12
284 ; 371.93
288 ; 389.79
292 ; 384.20
296 ; 381.71
300 ; 389.10
304 ; 398.99
308 ; 416.72
312 ; 430.56
316 ; 429.38
320 ; 425.84
324 ; 422.91
328 ; 411.04
332 ; 399.26
336 ; 423.58
340 ; 424.87
344 ; 438.63
348 ; 452.77
352 ; 470.29
356 ; 482.09
360 ; 492.53
364 ; 459.79
368 ; 445.74
372 ; 430.10
376 ; 404.73
380 ; 419.00
384 ; 401.78
388 ; 392.50
392 ; 382.70
396 ; 386.90
400 ; 371.84
404 ; 387.03
408 ; 376.37
412 ; 369.92
416 ; 347.97
420 ; 350.42
424 ; 345.54
428 ; 350.43
432 ; 340.68
436 ; 334.23
440 ; 334.91
444 ; 307.67
448 ; 319.34
452 ; 332.28
456 ; 311.58
460 ; 318.11
464 ; 306.48
468 ; 316.89
472 ; 304.13
476 ; 328.62
480 ; 292.37
484 ; 310.06
488 ; 310.52
492 ; 301.88
496 ; 281.18
500 ; 277.97
504 ; 264.75
508 ; 274.10
512 ; 274.96
516 ; 282.97
520 ; 268.75
524 ; 245.83
528 ; 248.89
532 ; 269.62
536 ; 269.33
540 ; 264.61
544 ; 271.12
548 ; 263.81
552 ; 266.98
556 ; 275.49
560 ; 240.88
564 ; 242.42
568 ; 250.83
572 ; 247.61
576 ; 252.75
580 ; 255.52
584 ; 231.55
588 ; 242.84
592 ; 232.87
596 ; 250.02
600 ; 248.81
604 ; 237.96
608 ; 233.64
612 ; 227.19
616 ; 236.73
620 ; 245.65
624 ; 244.05
628 ; 239.03
632 ; 250.10
636 ; 255.02
640 ; 238.19
644 ; 252.50
648 ; 256.53
652 ; 255.74
656 ; 251.74
660 ; 274.08
664 ; 266.90
668 ; 238.63
672 ; 258.62
676 ; 277.49
680 ; 269.85
684 ; 261.29
688 ; 267.53
692 ; 280.83
696 ; 278.66
700 ; 302.00
704 ; 301.71
708 ; 316.61
712 ; 347.87
716 ; 389.01
720 ; 459.70
724 ; 504.39
728 ; 538.68
732 ; 532.00
736 ; 494.41
740 ; 413.57
744 ; 325.57
748 ; 297.82
752 ; 236.35
756 ; 233.12
760 ; 232.83
764 ; 221.31
768 ; 234.78
772 ; 223.12
776 ; 220.83
780 ; 235.43
784 ; 223.31
788 ; 222.04
792 ; 199.12
796 ; 193.37
800 ; 229.59
804 ; 241.57
808 ; 227.34
812 ; 235.23
816 ; 238.70
820 ; 226.02
824 ; 225.32
828 ; 240.54
832 ; 198.43
836 ; 217.59
840 ; 225.44
844 ; 252.08
848 ; 206.23
852 ; 233.32
856 ; 209.13
860 ; 224.06
864 ; 217.73
868 ; 214.68
872 ; 218.11
876 ; 210.31
880 ; 248.47
884 ; 216.27
888 ; 224.81
892 ; 230.39
896 ; 236.32
900 ; 233.16
904 ; 217.91
908 ; 218.87
912 ; 238.20
916 ; 250.91
920 ; 232.16
924 ; 236.11
928 ; 211.71
932 ; 250.52
936 ; 241.70
940 ; 240.97
944 ; 235.50
948 ; 210.02
952 ; 225.88
956 ; 230.46
960 ; 238.90
964 ; 232.53
968 ; 245.81
972 ; 270.87
976 ; 265.94
980 ; 237.24
984 ; 240.02
988 ; 233.17
992 ; 264.46
996 ; 240.03
1000 ; 274.15
1004 ; 260.43
1008 ; 260.63
1012 ; 274.33
1016 ; 279.95
1020 ; 270.17
1024 ; 318.04
1028 ; 336.08
1032 ; 398.09
1036 ; 470.61
1040 ; 537.41
1044 ; 700.75
1048 ; 1361.55
1052 ; 5591.84
1056 ; 12363.45
1060 ; 9730.00
1064 ; 3274.69
1068 ; 1489.90
1072 ; 796.00
1076 ; 522.15
1080 ; 462.55
1084 ; 394.52
1088 ; 342.17
1092 ; 313.66
1096 ; 334.90
1100 ; 334.73
1104 ; 285.42
1108 ; 285.83
1112 ; 283.37
1116 ; 273.79
1120 ; 317.51
1124 ; 325.49
1128 ; 328.60
1132 ; 273.43
1136 ; 285.40
1140 ; 301.60
1144 ; 240.57
1148 ; 251.47
1152 ; 252.79
1156 ; 254.50
1160 ; 237.94
1164 ; 214.50
1168 ; 213.76
1172 ; 275.55
1176 ; 247.21
1180 ; 232.31
1184 ; 222.44
1188 ; 265.32
1192 ; 227.01
1196 ; 256.18
1200 ; 215.96
1204 ; 222.79
1208 ; 233.66
1212 ; 217.15
1216 ; 231.33
1220 ; 217.13
1224 ; 261.82
1228 ; 224.04
1232 ; 199.32
1236 ; 232.24
1240 ; 233.79
1244 ; 255.36
1248 ; 222.09
1252 ; 192.03
1256 ; 237.43
1260 ; 222.01
1264 ; 226.61
1268 ; 236.98
1272 ; 217.32
1276 ; 258.71
1280 ; 223.13
1284 ; 255.40
1288 ; 319.03
1292 ; 358.38
1296 ; 335.85
1300 ; 281.26
1304 ; 302.39
1308 ; 297.76
1312 ; 317.22
1316 ; 316.22
1320 ; 317.85
1324 ; 316.99
1328 ; 327.98
1332 ; 303.72
1336 ; 329.56
1340 ; 375.18
1344 ; 399.45
1348 ; 429.58
1352 ; 467.02
1356 ; 453.61
1360 ; 436.92
1364 ; 442.06
1368 ; 449.86
1372 ; 425.90
1376 ; 416.57
1380 ; 336.58
1384 ; 340.24
1388 ; 355.98
1392 ; 350.09
1396 ; 332.72
1400 ; 373.90
1404 ; 386.80
1408 ; 399.64
1412 ; 409.50
1416 ; 464.22
1420 ; 550.37
1424 ; 638.45
1428 ; 721.13
1432 ; 810.68
1436 ; 766.19
1440 ; 726.42
1444 ; 542.86
1448 ; 518.71
1452 ; 473.43
1456 ; 416.45
1460 ; 383.09
1464 ; 344.13
1468 ; 377.74
1472 ; 323.69
1476 ; 293.57
1480 ; 283.04
1484 ; 377.48
1488 ; 260.27
1492 ; 259.17
1496 ; 299.41
1500 ; 311.12
1504 ; 277.98
1508 ; 230.92
1512 ; 205.73
1516 ; 272.30
1520 ; 252.79
1524 ; 239.21
1528 ; 247.71
1532 ; 271.10
1536 ; 249.93
1540 ; 175.87
1544 ; 259.71
1548 ; 324.08
1552 ; 228.85
1556 ; 245.76
1560 ; 254.34
1564 ; 217.42
