Raman Shift ; Dark Subtracted
176 ; 870.18
180 ; 855.98
184 ; 853.11
188 ; 861.13
192 ; 880.25
196 ; 866.48
200 ; 873.47
204 ; 864.18
208 ; 840.75
212 ; 845.70
216 ; 839.38
220 ; 831.34
224 ; 820.13
228 ; 760.46
232 ; 695.19
236 ; 610.37
240 ; 521.92
244 ; 450.59
248 ; 405.98
252 ; 384.11
256 ; 361.70
260 ; 337.30
264 ; 318.92
268 ; 295.57
272 ; 289.57
276 ; 299.65
280 ; 322.60
284 ; 327.17
288 ; 316.51
292 ; 287.64
296 ; 288.47
300 ; 308.49
304 ; 316.94
308 ; 324.96
312 ; 342.00
316 ; 331.85
320 ; 332.79
324 ; 324.52
328 ; 328.26
332 ; 320.44
336 ; 328.38
340 ; 319.00
344 ; 333.91
348 ; 363.89
352 ; 381.45
356 ; 386.79
360 ; 377.65
364 ; 335.37
368 ; 338.42
372 ; 305.90
376 ; 270.30
380 ; 261.86
384 ; 262.78
388 ; 258.33
392 ; 252.76
396 ; 265.88
400 ; 240.92
404 ; 219.96
408 ; 220.12
412 ; 227.65
416 ; 243.76
420 ; 219.00
424 ; 215.20
428 ; 227.54
432 ; 219.18
436 ; 212.75
440 ; 206.42
444 ; 208.82
448 ; 204.56
452 ; 199.30
456 ; 184.33
460 ; 208.66
464 ; 201.89
468 ; 164.24
472 ; 176.70
476 ; 202.98
480 ; 200.86
484 ; 193.74
488 ; 206.29
492 ; 187.13
496 ; 176.92
500 ; 180.82
504 ; 190.19
508 ; 190.31
512 ; 177.97
516 ; 169.38
520 ; 175.12
524 ; 194.61
528 ; 168.70
532 ; 193.51
536 ; 173.83
540 ; 188.69
544 ; 179.58
548 ; 176.56
552 ; 180.04
556 ; 170.75
560 ; 166.90
564 ; 185.11
568 ; 182.96
572 ; 164.39
576 ; 161.49
580 ; 151.99
584 ; 157.84
588 ; 178.97
592 ; 165.80
596 ; 148.29
600 ; 158.91
604 ; 157.41
608 ; 162.35
612 ; 150.96
616 ; 146.03
620 ; 162.41
624 ; 156.39
628 ; 174.80
632 ; 179.04
636 ; 177.11
640 ; 158.19
644 ; 161.69
648 ; 172.63
652 ; 199.13
656 ; 202.20
660 ; 175.37
664 ; 182.70
668 ; 197.19
672 ; 195.67
676 ; 193.10
680 ; 177.58
684 ; 158.53
688 ; 172.34
692 ; 186.47
696 ; 211.44
700 ; 189.11
704 ; 204.29
708 ; 200.95
712 ; 218.80
716 ; 275.43
720 ; 302.12
724 ; 381.38
728 ; 404.29
732 ; 380.92
736 ; 334.73
740 ; 261.97
744 ; 213.57
748 ; 192.80
752 ; 190.20
756 ; 148.75
760 ; 119.74
764 ; 123.40
768 ; 106.60
772 ; 125.53
776 ; 136.69
780 ; 123.00
784 ; 99.23
788 ; 118.21
792 ; 139.53
796 ; 107.23
800 ; 100.84
804 ; 101.78
808 ; 109.73
812 ; 138.26
816 ; 130.75
820 ; 122.11
824 ; 116.48
828 ; 104.32
832 ; 117.88
836 ; 110.92
840 ; 102.14
844 ; 113.56
848 ; 114.79
852 ; 126.47
856 ; 109.24
860 ; 101.88
864 ; 103.75
868 ; 101.96
872 ; 133.89
876 ; 89.64
880 ; 99.56
884 ; 129.48
888 ; 127.85
892 ; 131.50
896 ; 110.09
900 ; 97.91
904 ; 108.99
908 ; 127.87
912 ; 106.74
916 ; 96.49
920 ; 71.25
924 ; 120.82
928 ; 130.63
932 ; 103.29
936 ; 97.11
940 ; 116.11
944 ; 106.07
948 ; 109.39
952 ; 101.27
956 ; 105.53
960 ; 124.77
964 ; 117.96
968 ; 131.25
972 ; 94.91
976 ; 101.02
980 ; 145.15
984 ; 140.70
988 ; 147.99
992 ; 138.27
996 ; 125.31
1000 ; 171.87
1004 ; 179.02
1008 ; 139.11
1012 ; 159.46
1016 ; 147.35
1020 ; 192.68
1024 ; 187.08
1028 ; 217.39
1032 ; 223.96
1036 ; 320.14
1040 ; 396.86
1044 ; 553.64
1048 ; 1105.00
1052 ; 5494.99
1056 ; 11104.33
1060 ; 7145.05
1064 ; 2027.18
1068 ; 993.68
1072 ; 506.25
1076 ; 358.89
1080 ; 278.97
1084 ; 223.89
1088 ; 193.43
1092 ; 177.84
1096 ; 175.61
1100 ; 165.33
1104 ; 151.78
1108 ; 155.51
1112 ; 173.43
1116 ; 149.01
1120 ; 165.61
1124 ; 188.51
1128 ; 238.61
1132 ; 205.59
1136 ; 142.45
1140 ; 121.88
1144 ; 143.32
1148 ; 142.70
1152 ; 137.62
1156 ; 125.70
1160 ; 110.15
1164 ; 141.52
1168 ; 136.35
1172 ; 87.27
1176 ; 81.42
1180 ; 105.30
1184 ; 122.93
1188 ; 104.99
1192 ; 84.20
1196 ; 126.32
1200 ; 119.65
1204 ; 86.32
1208 ; 134.29
1212 ; 117.46
1216 ; 119.08
1220 ; 111.49
1224 ; 77.69
1228 ; 76.39
1232 ; 106.06
1236 ; 111.64
1240 ; 99.09
1244 ; 84.01
1248 ; 132.11
1252 ; 119.79
1256 ; 89.34
1260 ; 131.87
1264 ; 115.84
1268 ; 113.42
1272 ; 119.61
1276 ; 56.22
1280 ; 124.25
1284 ; 127.01
1288 ; 169.96
1292 ; 188.53
1296 ; 236.01
1300 ; 227.88
1304 ; 185.33
1308 ; 126.81
1312 ; 142.60
1316 ; 153.68
1320 ; 175.58
1324 ; 118.85
1328 ; 139.01
1332 ; 192.38
1336 ; 164.99
1340 ; 151.31
1344 ; 184.05
1348 ; 235.79
1352 ; 260.54
1356 ; 228.62
1360 ; 238.58
1364 ; 221.71
1368 ; 263.76
1372 ; 201.19
1376 ; 171.53
1380 ; 153.03
1384 ; 188.54
1388 ; 156.08
1392 ; 162.88
1396 ; 154.59
1400 ; 190.00
1404 ; 149.24
1408 ; 178.36
1412 ; 219.39
1416 ; 321.87
1420 ; 346.59
1424 ; 334.29
1428 ; 464.82
1432 ; 521.43
1436 ; 491.77
1440 ; 418.22
1444 ; 402.34
1448 ; 337.96
1452 ; 235.78
1456 ; 224.75
1460 ; 197.34
1464 ; 215.83
1468 ; 162.92
1472 ; 179.99
1476 ; 160.85
1480 ; 143.06
1484 ; 62.24
1488 ; 104.92
1492 ; 134.01
1496 ; 148.47
1500 ; 75.95
1504 ; 93.78
1508 ; 128.59
1512 ; 71.06
1516 ; 59.35
1520 ; 113.51
1524 ; 165.98
1528 ; 106.96
1532 ; 116.88
1536 ; 76.27
1540 ; 99.03
1544 ; 96.91
1548 ; 87.34
1552 ; 90.27
1556 ; 80.22
1560 ; 84.84
1564 ; 94.07
1568 ; 122.82
1572 ; 112.08
1576 ; 56.71
1580 ; 103.28
1584 ; 157.93
1588 ; 105.64
1592 ; 91.86
1596 ; 78.40
1600 ; 140.20
1604 ; 55.22
1608 ; 77.09
1612 ; 130.96
1616 ; 165.97
1620 ; 35.91
1624 ; 178.87
